preisZeilenTitel,waehrung,waehrung 2,waehrung 3,waehrung 4,waehrung 5
1.,  Innere Stadt,€ 19.510,€ 17.137,€ 16.919,€ 25.016,€ 21.774
2.,  Leopoldstadt,€ 6.747,€ 7.204,€ 7.898,€ 9.405,€ 7.460
3.,  Landstraße,€ 7.982,€ 7.694,€ 7.516,€ 10.784,€ 7.801
4.,  Wieden,€ 9.875,€ 10.608,€ 11.303,€ 13.693,€ 10.769
5.,  Margareten,€ 6.362,€ 6.033,€ 5.892,€ 9.461,€ 6.164
6.,  Mariahilf,€ 8.530,€ 8.096,€ 10.233,€ 11.570,€ 9.999
7.,  Neubau,€ 7.473,€ 5.773,€ 8.714,€ 9.087,€ 8.065
8.,  Josefstadt,€ 8.645,€ 9.355,€ 8.673,€ 12.225,€ 9.029
9.,  Alsergrund,€ 8.066,€ 7.823,€ 7.706,€ 17.733,€ 10.477
10.,  Favoriten,€ 6.741,€ 5.327,€ 5.150,€ 5.604,€ 6.121
11.,  Simmering,€ 6.470,€ 5.379,€ 5.373,k.A.,€ 5.609
12.,  Meidling,€ 5.649,€ 5.727,€ 6.096,€ 5.551,€ 5.778
13.,  Hietzing,€ 6.759,€ 7.394,€ 7.296,€ 8.934,€ 7.419
14.,  Penzing,€ 5.991,€ 6.683,€ 6.633,€ 7.797,€ 6.472
15.,  Rudolfsheim-Fünfhaus,€ 5.902,€ 6.745,€ 6.220,€ 8.132,€ 6.509
16.,  Ottakring,€ 5.590,€ 5.961,€ 5.418,€ 5.778,€ 5.587
17.,  Hernals,€ 5.257,€ 6.136,€ 7.077,€ 6.786,€ 6.314
18.,  Währing,€ 7.866,€ 8.157,€ 8.517,€ 10.404,€ 8.680
19.,  Döbling,€ 7.934,€ 8.521,€ 10.417,€ 10.954,€ 9.695
20.,  Brigittenau,€ 5.484,€ 5.679,€ 6.809,k.A.,€ 5.863
21.,  Floridsdorf,€ 7.025,€ 6.160,€ 6.639,€ 4.647,€ 6.526
22.,  Donaustadt,€ 7.560,€ 6.132,€ 7.350,€ 7.429,€ 7.084
23.,  Liesing,€ 6.288,€ 6.204,€ 5.679,€ 5.764,€ 6.070
